Type,SKU,Name,Published,Is featured?,Visibility in catalog,Regular price,In stock?,Stock status,Manage stock?,Stock,Backorders allowed?,Attribute 1 name,Attribute 1 value(s),Attribute 1 default,Attribute 1 visible,Attribute 1 global,Attribute 1 variation,Images,Parent,Description,Short description
variation,tutx-gen1-009,TUTX一代系列 - 芭樂,1,0,visible,299,1,instock,0,999,0,口味,芭樂,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-010,TUTX一代系列 - 青蘋果,1,0,visible,299,1,instock,0,999,0,口味,青蘋果,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-011,TUTX一代系列 - 南極冰,1,0,visible,299,1,instock,0,999,0,口味,南極冰,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-012,TUTX一代系列 - 哈密瓜,1,0,visible,299,1,instock,0,999,0,口味,哈密瓜,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-013,TUTX一代系列 - 荔枝,1,0,visible,299,1,instock,0,999,0,口味,荔枝,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-014,TUTX一代系列 - 莓果,1,0,visible,299,1,instock,0,999,0,口味,莓果,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-015,TUTX一代系列 - 雪碧,1,0,visible,299,1,instock,0,999,0,口味,雪碧,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-016,TUTX一代系列 - 菸草,1,0,visible,299,1,instock,0,999,0,口味,菸草,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-017,TUTX一代系列 - 葡萄,1,0,visible,299,1,instock,0,999,0,口味,葡萄,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-018,TUTX一代系列 - 蜜桃,1,0,visible,299,1,instock,0,999,0,口味,蜜桃,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
